target_id	TF_id	cor	p	in_fimo	target_name	TF_name	cor_sign
Mp1g01960.1	Mp1g11660.1	0.92032743884284	1.16957564011422e-06	FALSE	Mp1g01960.1	HD6	pos
Mp1g03100.1	Mp1g11660.1	0.961041842267541	1.23472307933525e-08	FALSE	TRIHELIX26	HD6	pos
Mp1g03200.1	Mp1g11660.1	0.913946923950461	1.89965355801291e-06	FALSE	Mp1g03200.1	HD6	pos
Mp1g07070.1	Mp1g11660.1	0.933444546870678	3.75143422104429e-07	TRUE	ARF3	HD6	pos
Mp1g08890.1	Mp1g11660.1	0.974031570466373	9.12426356691753e-10	TRUE	WRKY5	HD6	pos
Mp1g09040.1	Mp1g11660.1	0.921534216900932	1.06226481100258e-06	FALSE	Mp1g09040.1	HD6	pos
Mp1g10030.1	Mp1g11660.1	0.937404117352653	2.54247849884592e-07	FALSE	Mp1g10030.1	HD6	pos
Mp1g10310.1	Mp1g11660.1	-0.842214681857019	8.16796902340933e-05	TRUE	CDC5	HD6	neg
Mp1g01110.1	Mp1g12750.1	0.819415470113317	0.000185276448718241	FALSE	BHLH33	ARF1	pos
Mp1g09420.1	Mp1g12750.1	0.946947625692833	8.87976168151283e-08	FALSE	R2R3-MYB17	ARF1	pos
Mp1g09500.1	Mp1g12750.1	0.840353728129228	8.77320968608597e-05	FALSE	IDDL6	ARF1	pos
Mp1g01010.1	Mp1g13260.1	-0.844294844583687	7.532613365413e-05	FALSE	HD9	BZR2	neg
Mp1g01160.1	Mp1g13260.1	0.880267427528913	1.49531315569718e-05	FALSE	BHLH34	BZR2	pos
Mp1g01960.1	Mp1g13260.1	0.865295173586622	3.09759802459286e-05	FALSE	Mp1g01960.1	BZR2	pos
Mp1g03100.1	Mp1g13260.1	0.922809307328818	9.5795402077492e-07	FALSE	TRIHELIX26	BZR2	pos
Mp1g03200.1	Mp1g13260.1	0.943201410941021	1.37103965736074e-07	FALSE	Mp1g03200.1	BZR2	pos
Mp1g04550.1	Mp1g13260.1	-0.889964912928214	8.8474907116165e-06	TRUE	CCAAT-NFYC1	BZR2	neg
Mp1g07070.1	Mp1g13260.1	0.882688810866252	1.31730991954626e-05	FALSE	ARF3	BZR2	pos
Mp1g08890.1	Mp1g13260.1	0.943315355100248	1.35363604991667e-07	TRUE	WRKY5	BZR2	pos
Mp1g09040.1	Mp1g13260.1	0.969220991095319	2.72219913277638e-09	TRUE	Mp1g09040.1	BZR2	pos
Mp1g10310.1	Mp1g13260.1	-0.804767736535073	0.000296216874392297	FALSE	CDC5	BZR2	neg
Mp1g11660.1	Mp1g13260.1	0.895839716847181	6.28465181273796e-06	FALSE	HD6	BZR2	pos
Mp1g03950.1	Mp1g13740.1	0.854466569911276	4.98227638541238e-05	FALSE	GATA2	CCAAT-NFYA	pos
Mp1g04550.1	Mp1g13740.1	0.88898239430355	9.35084751452209e-06	FALSE	CCAAT-NFYC1	CCAAT-NFYA	pos
Mp1g06180.1	Mp1g13740.1	-0.91404267111812	1.88640237519522e-06	FALSE	TRIHELIX18	CCAAT-NFYA	neg
Mp1g13260.1	Mp1g13740.1	-0.80155134424816	0.000326684813798384	FALSE	BZR2	CCAAT-NFYA	neg
Mp1g10020.1	Mp1g14500.1	0.870420736074965	2.43844419021144e-05	FALSE	Mp1g10020.1	ASLBD15	pos
Mp1g01010.1	Mp1g16790.1	-0.866118731259287	2.98272729977178e-05	FALSE	HD9	TRIHELIX1	neg
Mp1g01160.1	Mp1g16790.1	0.87074317928288	2.40121639847324e-05	FALSE	BHLH34	TRIHELIX1	pos
Mp1g01960.1	Mp1g16790.1	0.916299363170669	1.59569329394316e-06	FALSE	Mp1g01960.1	TRIHELIX1	pos
Mp1g03100.1	Mp1g16790.1	0.893243569489675	7.32781217016587e-06	FALSE	TRIHELIX26	TRIHELIX1	pos
Mp1g03200.1	Mp1g16790.1	0.975146128055553	6.87903733975759e-10	FALSE	Mp1g03200.1	TRIHELIX1	pos
Mp1g04550.1	Mp1g16790.1	-0.814112400164866	0.000220601584560942	FALSE	CCAAT-NFYC1	TRIHELIX1	neg
Mp1g07070.1	Mp1g16790.1	0.871907935736703	2.27064051583348e-05	FALSE	ARF3	TRIHELIX1	pos
Mp1g08890.1	Mp1g16790.1	0.925801386151979	7.46342223356677e-07	FALSE	WRKY5	TRIHELIX1	pos
